epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,3656.33,0.92588,0.73079,1.20688,0.81309,0.69802,0.76455,0.55289,1.11535,1.1586,1.4137,0.000410409,0.000410409,0.000410409
74,3705.78,0.91839,0.72844,1.20811,0.83612,0.67926,0.76826,0.55193,1.13401,1.13689,1.43599,0.000396262,0.000396262,0.000396262
75,3756.34,0.93084,0.74134,1.21519,0.82336,0.70967,0.76705,0.553,1.12462,1.10623,1.42331,0.000382115,0.000382115,0.000382115
76,3805.72,0.92828,0.73315,1.21347,0.81903,0.70697,0.7755,0.56384,1.12403,1.1138,1.41829,0.000367967,0.000367967,0.000367967
77,3855.16,0.91117,0.71037,1.19967,0.82711,0.70969,0.7783,0.56315,1.12328,1.09069,1.41352,0.00035382,0.00035382,0.00035382
78,3904.78,0.91072,0.70854,1.19524,0.85462,0.68581,0.77912,0.56278,1.11052,1.12345,1.41373,0.000339673,0.000339673,0.000339673
79,3955.58,0.92134,0.71806,1.20561,0.82496,0.6996,0.77058,0.5568,1.11926,1.13103,1.41592,0.000325526,0.000325526,0.000325526
80,4005.18,0.91682,0.72283,1.19739,0.83071,0.70241,0.77759,0.55975,1.11175,1.10142,1.40537,0.000311379,0.000311379,0.000311379
81,4053.79,0.90737,0.70932,1.20054,0.84227,0.70221,0.78305,0.56608,1.10914,1.09997,1.40514,0.000297232,0.000297232,0.000297232
82,4103.47,0.91518,0.70752,1.19977,0.82771,0.6973,0.77521,0.56259,1.10868,1.08769,1.40295,0.000283085,0.000283085,0.000283085
83,4154.02,0.89752,0.69019,1.18449,0.8218,0.71664,0.78008,0.569,1.10315,1.10172,1.38829,0.000268938,0.000268938,0.000268938
84,4203.67,0.89199,0.68745,1.18347,0.85222,0.6859,0.77981,0.5666,1.09593,1.08495,1.39124,0.000254791,0.000254791,0.000254791
85,4253.57,0.90205,0.68655,1.18575,0.83474,0.72594,0.79238,0.57662,1.0986,1.0497,1.39014,0.000240644,0.000240644,0.000240644
86,4303.11,0.90007,0.69531,1.1862,0.85365,0.70603,0.78774,0.57172,1.09215,1.04291,1.39222,0.000226497,0.000226497,0.000226497
87,4352.93,0.88878,0.68653,1.18657,0.83318,0.70659,0.78385,0.56981,1.1005,1.06404,1.39963,0.000212349,0.000212349,0.000212349
88,4404.08,0.87111,0.67132,1.17504,0.85429,0.69119,0.78604,0.56848,1.10306,1.08344,1.40469,0.000198202,0.000198202,0.000198202
89,4454.08,0.88506,0.66455,1.17909,0.85529,0.69117,0.78154,0.56513,1.10632,1.05918,1.41175,0.000184055,0.000184055,0.000184055
90,4503.83,0.87565,0.66082,1.17743,0.83648,0.69814,0.77668,0.56501,1.10304,1.08549,1.40287,0.000169908,0.000169908,0.000169908
91,4553.34,0.84175,0.57873,1.15254,0.84936,0.69592,0.779,0.5696,1.10633,1.06148,1.41276,0.000155761,0.000155761,0.000155761
92,4600.89,0.83175,0.55231,1.15682,0.83919,0.70942,0.78406,0.57214,1.10789,1.06148,1.40138,0.000141614,0.000141614,0.000141614
93,4647.99,0.82374,0.55818,1.1455,0.8378,0.71319,0.78673,0.5727,1.10119,1.04519,1.4089,0.000127467,0.000127467,0.000127467
94,4694.85,0.81662,0.53523,1.14795,0.83889,0.71673,0.78344,0.57209,1.09842,1.07109,1.3987,0.00011332,0.00011332,0.00011332
95,4742.25,0.8096,0.53248,1.1376,0.84498,0.71133,0.78104,0.5704,1.09594,1.07807,1.39405,9.91726e-05,9.91726e-05,9.91726e-05
96,4788.75,0.81037,0.52849,1.13977,0.84839,0.71307,0.78389,0.57272,1.10121,1.07914,1.399,8.50255e-05,8.50255e-05,8.50255e-05
97,4836.81,0.80262,0.5235,1.13041,0.84382,0.71705,0.78451,0.57232,1.09438,1.07843,1.39593,7.08784e-05,7.08784e-05,7.08784e-05
98,4884.02,0.79996,0.53383,1.14108,0.84986,0.71437,0.78523,0.57436,1.09681,1.07479,1.40081,5.67313e-05,5.67313e-05,5.67313e-05
99,4930.77,0.79641,0.51776,1.1318,0.85385,0.71534,0.78661,0.57315,1.09939,1.06901,1.40048,4.25842e-05,4.25842e-05,4.25842e-05
100,4977.88,0.78993,0.51065,1.12906,0.84494,0.71706,0.7865,0.5762,1.09429,1.07022,1.39874,2.84371e-05,2.84371e-05,2.84371e-05
